index,title,simpletags,deepertags,degree
186,master of physiotherapy sports and clinical biomechanics,masters physiotherapy sports clinical biomechanics,Applied Medical Sciences Kinesiology Assessment Evaluation Sports Physiotherapy Research Educational Methodology Sports Psychology Exercise Physiology Medical Sports Medicine Current Concepts Sports Medicine Clinical Training,master of physiotherapy
187,master of science sports biomechanics,masters science biomechanics sports,Methodology Statistics Scientific Sports Biomechanics human movement Functional Anatomy Strength Training Conditioning Biomechanics Sports Injury Kinesiology recording analyzing sports movements Joint range Motion Muscle Length Testing Force plate Dynamometer EMG MATLAB Kinanthropometry Biomechanics Skeletal System Methods Neuromechanics track Field team games,master of science
188,doctor of medicine physical medicine and rehabilitation,doctor medicine physical medicine rehabilitation,Anatomy Physiology Biochemistry Biophysics Physical Medicine Pathology Pharmacology Medicine Neurology Rheumatology Surgery orthopedic Orthopaedic Surgery community Medicine Paediatrics Psychiatry Clinical Psychology Cardiology Chest diseases Radiology Cancer Neurosurgery Plastic Surgery Urology E.N.T. Obstetrics Gynecology Ophthalmology Occupational Therapist Physiotherapist Rehabilitation Officer Lecturer Therapist General Physical medicine Rehabilitation Epidemiology Research methodology Physiatry Occupational therapy Post surgical orthopedic Stroke Neurological diseases Pediatric diseases Cardio respiratory disease Musculoskeletal Rheumatologic disease rehabilitation Clinical training Spinal injury Foot wears foot wears modification Traumatic brain injury Rehabilitation post orthopedic condition brain damage Cardiopulmonary rehabilitation endocrine metabolic diseases geriatric patients,doctor of medicine
189,master in surgery orthopedics,masters surgery orthopedics,Spinal Injuries Bone Tumors Tendon injuries Pulled Muscles Club foot Unequal leg lengths Arthritis Osteoporosis Disorders Joints Muscles Ligaments Tendons Nerves Skin Dislocations Fractures Damaged Joints Torn Cartilage Infections Tumors Congenital Anomalies Peripheral Nerve Injuries Microsurgery Imaging Orthopedics Non traumatic Disorders Operative Orthopedics Surgical Techniques Approaches Arthrodesis Close Reduction Fractures Dislocations Mastering Plastering Debridement Open Fractures External Fixator Internal Fixation Minor Fractures K Wires Excision Benign Lesson Tendon Lengthening Incision Drainage Acute Osteomyelitis Skull Tongs Dislocations Regional Orthopedics Spine Sports Medicine Foot Ankles Arthroplasty Amputations Clinical Diagnosis assessment Investigation surgical Medical Emergencies Performance open Fractures Splintage Spine limbs fracture dislocations emergency drugs Communication patients attendants demise Handling confidential issues Biopsies Traumatology Orthopaedics Traumatology Orthopedic Surgery rehabilitation Anatomy Cell Biology Genetics Elementary Embryology Bone Structure anatomy Joints Physiology Water Electrolyte Metabolism Acid base regulation Renal Hepatic Functions O2 CO2 Tranport Mechanism Heat rate Blood pressure Regional Blood Flow Lung Functions Renal Functions Haemorrage Thrombosis Clotting Mechanism Pathway Shock emobilism DIC Physiological Trauma Exercise Physiology Fracture Healing Physiology Nerve Conduction Muscle Functions NCS EMG Pathology Pharmacology Microbiology Neuromuscular Disorders Polio Ep Muscular Dystrophies Obstetrical Palsy brachial plexus injuries Etiology Patho Physiology Clinical Splinting Bracing Physiotherapy Surgical Interaction Physical Medicine Rehabilitation Physical Therapy Exercise Therapy electrotherapy Splint Brace Prescription Prosthetics Orthotics Amputation Surgery Prescription Orthosis Prosthesis post OP prosthetic mobilization Total Rehabilitation Medical Educational Vocational Social Rehabilitation Osteoarticular Tuberculosis Bacteriology Pathotnogy Symptomatology Investigation Diagnosis Management Conservative Surgical Infections Bacteriology Pathology Clinical Features Management Acute Subcute Chronic Arthritis Infective Rheumatoid Degenerative crystallord Metabolic Signs Symptoms tumors benign Malignant Osseous Soft Tissue Pathogenic Histopathology Investigations radio chemo ,master in surgery
190,executive diploma sports management,executive diploma management sports,Sports Marketing Sports Medicine Health Nutrition Strategic Sports Communication Operational Supply Chain Sports Management Sports Marketing Coaching Policy Organizational Behaviour Human Resource Management Event Management Marketing research Practical Sports Management Workshops Facilities Planning Management Academy Institutions Statistics Information Technology Strategy Planning Implementation Sociology Athletics Economics Financial Reporting Performance Measurement Organizations Sports Kinetics Maintenance Marketing Museums Data Analytics Psychology Government Sports Policies Project Finance Integrated Sports Marketing Communication Entrepreneurship Negotiation Conflict Resolution Financial Management Organizations Digital Marketing Leadership Team Management Sports Merchandise Manufacturing Elite Athletes Manpower League Management Contemporary Issues Construction Maintenance Facilities Related PPP Multi disciplinary Mega Sporting Events International Merchandise Retailing Law Ethics Compliance ,executive diploma
191,master of science strength and conditioning,masters science conditioning strength,Nutrition Energy Metabolism Obesity Weight Management Exercise Considerations Special Populations Sports game specific Drills Sciences Strength Conditioning Alternative Methods Training Sports injuries Speed Power Rehabilitation Relaxation techniques Science Sports Training Research Methods Statistics Design Periodization endurance Agility Training Drills Testing Procedures Evaluation Functional Anatomical Kinesiology Fitness Administration Assessment Recording Progress Weight Methods Physiology exercise adaptation General Conditioning Flexibility Games Program Goal,master of science
192,post graduate diploma sports medicine (DSM),post graduate diploma DSM medicine sports,Applied Basic Medical Sciences Kinesiology Assessment Evaluation Medicine Research Educational Methodology  Para Clinical Sciences Biomechanics Physical Medicine Sports Traumatology Kinanthropometry Medicine Exercise Physiology Nutrition Non Traumatic Medical Conditions Athlete Psychology Applied Exercise Physiology Medical Aspects Medicine Emergency Care Cardiopulmonary Therapeutics Healthcare Management exercise Physiology Kinesiology Massage Therapy Occupational Physical Sport Dietetics Nutrition Sports Medicine Research,post graduate diploma
193,Sports Medicine,bachelor medicine bachelor surgery doctor medicine sports master physical therapy physiotherapy clinical biomechanics rehabilitation master masters master's bachelors bachelor's conditioning post graduate diploma orthopedic orthopedics exercise national board health family welfare clinical management strength science dnb dsm diplomate national board ,preventing treating injuries sports exercise physiotherapist top-flight trainer psychologist nutritionist physician heal injuries examining player's fitness level Sound knowledge Orthopedic Sports Injuries Assessments Rehabilitation Assess Evaluate complex Sports injuries patients independently physiotherapy Rehabilitation protocol evidence anatomy biomechanics physiotherapy rehab techniques Trigger Point Therapy Myofascial Manipulation Mobilization techniques Dry Needling Therapy IASTM Kinesiology taping Independently Assess Evaluate patients musculoskeletal disorders Diagnostics musculoskeletal problems athletes surgery emergency medicine treating psychology trauma acquired physical activity nutrition physiotherapy Treatment Protocols Implement APTA curriculum athletic activities trainers gym sports injured bruised pediatrics orthopedics internal medicine  instruct train promote fitness physician ailments injuries physical activities prescribe medication proper diet operations  health advice physiotherapists Occupational Therapy Exercise Physiology Sports Medicine Research Occupational Therapy Massage Therapy Sports Dietician Nutritionist Kinesiology Physical Therapy Dieticians Nutritionists MD Medicine Consultant Medical Doctor Gym Instructor Junior Medical Social Worker Pharmacist healing traumas treating bone muscles Naturopathy Doctor Junior Resident doctor,profile
194,post graduate diploma in management accounting and finance,post graduate management finance accounting,Finance Managerial Accounting Financial Tools Planning Decision Making Financial Reporting Taxation Cost Accounting Company Accounting Stock Market Operations Financial Markets Derivatives Corporate Valuation Insurance Banking Managerial Economics Advance Financial Management Company Law Governance Auditing Stock Direct Indirect Taxation Securities Analysis Portfolio Management Institutions International Financial Management Financial Analytics Multinational Finance Management Banks Financial Institutions Introduction FinTech Business Analysis Valuation Venture Capital Private Equity Mergers Acquisitions Corporate Restructuring Advanced Risk Models Financial Risk Management Behavioural Finance Derivatives Financial Engineering Global Financial Markets Products Security Analysis Portfolio Management,post graduate diploma in management
195,post graduate diploma in management finance,post graduate management diploma finance,"Principles Practices management Project infrastructure financing Management accounting Capital market Managerial Economics Accounting systems financial analysis Indian Banking Financial Systems Management bank Marketing Banking Service	 Security analysis portfolio management Banking Regulations laws Bank policies Capital market infrastructure financing Accounting systems financial analysis Macro economics Micro financing Security analysis portfolio Risk Bank lending Rural cooperative banking Banks Financial Service Providers Investment Management Portfolio Financial Consultancies Financial Risk Organisational Behaviour Financial Managerial Accounting Control Macroeconomics Business Communication Managerial Accounting Control Managerial Economics Microeconomics Marketing Quantitative Techniques Operations Strategic Human Resource Business Environment Information System Research Method Operations Security Analysis Portfolio International Finance Risk Insurance Merchant Banking Financial Services Corporate Valuation Merger Acquisition Micro Finance Taxation Tax Planning Equity Research Derivatives Equity Research Retail Banking Bank Performance Analysis Financing Financial Engineering Treasury Fixed Income Markets Business Analysis Valuation Control Systems Strategic Financial Statement Analysis Microfinancing",post graduate diploma in management
196,bachelor of arts economics,bachelor arts economics,Microeconomics Economics Macroeconomics Statistical Methods Economics Health Education Political Economy Applied Econometrics Comparative Economic Development Financial Environmental Economics Money Financial Markets International Public Supply Demand Income Accounting Inflation Consumer Theory Production Costs Perfect Competition Demand and Aggregate Supply Curves Inflation Unemployment Expectations Probability Distributions Equilibrium Efficiency Welfare Market Structure Game Theory Fiscal Monetary Policy Linear Regression Model Land Labor Credit Markets Financial Institutions Markets Instruments Financial Innovations Central Banking Monetary Policy,bachelor of arts
197,bachelor of science economics,bachelor science economics,Economics International Trade Policies international trade policies Monetary Economics Micro Economics Macro Economics Microeconomics macroeconomics Fiscal Economics Calculus Statistics Spreadsheets SPSS Financial Methods Data Management Business Communication Cost Accounting Demography Marketing Theory Pricing Strategies Data R Python econometrics Operations Research Advanced Analytics ML DL AI NN R Python Strategy Game Theory Pure Theory Trade Behavioral Economics Urban Economics Energy Banking Finance Environmental Economics Development Economics Intermediate Microeconomics Presentation Communication Skills Sociology revenue ,bachelor of science
198,master of arts economics,masters arts economics,Microeconomic Analysis Monetary Economics Elementary Statistics International Trade Theory Pricing Distribution Macroeconomic Analysis Quantitative Methods International Finance Economics Growth Public Economics Industry Growth Models Agriculture Quantitative Econometrics Labour Demography Gender Development Infrastructure Financial Institutions Markets Insurance Pricing Distribution Globalization Environmental Law,master of arts
199,post graduate programme business administration and management,post graduate programme business administration management,"Financial Accounting Corporate Strategy Design Thinking Digital Business Models Strategy E Business Models Strategy Green Business Management International Business Corporate Failures Leadership Vision Reality New Product Development Platform Business Models Consulting Strategic Thinking Decision Making Strategic Thinking Creativity
Strategic Business Transformation Strategic Leadership Strategic Management Media Entertainment Industry Strategic Management Technology Innovation Strategy Implementation Business Unusual Understanding Alternative Business Models Development Economics Theory Doing Business Risky Countries Evaluating Public Policy Health Economics Infrastructure Development Public Private Partnership Regulations Public Policy Managers Rural Banking Financial Inclusion Social Entrepreneurship Analytics Strategic Operational Decision Making Business Process Improvement Competition Cooperation Business Ecosystems Healthcare Operations Management Project Management Essentials Strategic Management Services Supply Chain Management Technology Operations Strategy Corporate Finance Brand Management Business Business Marketing Competitive Marketing Strategy Consumer Behaviour Customer Acquisition Retention Customer Relationship Management Digital Marketing E-Commerce International Marketing Marketing Communication Marketing Management Innovation Multi-Channel Retail Strategy Product Strategy and Management Marketing Decisions Services Marketing Strategy Tactics and Economics Pricing Artificial Intelligence Deep Learning Big Data Analysis Networks Machine Learning Information Systems Development Management Information Systems Technology Managing Digital Transformations Software Product Management Active Investment Management Advanced Corporate Finance
Banking Financial Markets Systems Corporate Valuation Financial Derivatives Financial Markets Financial Statement Analysis Fixed Income Securities Derivatives General Commercial Knowledge Global Securities Markets International Finance Capital Market Theory Investment Banking Investments Management Commercial Contracts Management Banks Financial Institutions New Enterprise Financing Project Appraisal Financing Risk Management Business Government Society Corporate Growth Entrepreneurial Environment Investing leveraging Venture Capital Entrepreneurship Behavioural Economics Business Law Current Economic Scenario East South East Asian Economies Financial Macroeconomics Global Commons Negotiations Business Network Technologies Global Macroeconomics Financial Markets Imagining International Macroeconomics Public Economics Managerial Communication Analytics E commerce Retail Operations Business Analytics Intelligence Market Micro Structure Business Operations Predictive Analytics Business Forecasting Science Management Big Data Spreadsheet Modelling Business Decision Problems Managerial Communication Macroeconomics Marketing Management Managing People Performance Organizations Management Accounting Managerial Economics Operations Management Organization Design Decision Sciences Competition Strategy Entrepreneurial Learning ",post graduate programme
200,master of business administration finance,masters business administration finance ,Micro Economics Financial Modeling Corporate Social Responsibility Supply Chain Management Accounting Business Intelligence Marketing Management Strategic Tools Frameworks Decision Making Managerial Economics Quantitative Methods  Statistics Marketing Research Business Communication Corporate Governance Business Ethics Organizational Behaviour Macro Economics Business Law Operations Corporate Marketing Management Optimization Research Corporate Financial Reporting Analysis Cost Corporate Finance Financial Risk International Finance Structured Infrastructure Behavioural Modelling Quantitative Analysis Financial Decisions Security Analysis Investment Management Portfolio International Financial Services Control System Corporate Taxation Derivatives Project Planning Analysis Risk Fixed Income Securities Financial Reporting Financial Accounting Analysis Corporate Finance Marketing Financial Service Strategic International Finance Financial Institution Markets Venture Capital Private Equity Mergers Acquisitions International Regulatory Framework,master of business administration
201,master of business administration International business,masters business administration International,"Global Business Ethics Marketing Management Essentials Management Human Resource Management Disaster Management Operations Management Business Communication	Management Accounting Principles Accounting nternational Trade Law International Business Indian Economy Management Information Systems	Global Strategic Management International Marketing Expert Import Procedures International Finance India’s Foreign Trade Policy International HRM Supply Chain Management Macroeconomics Advertising Management Overseas Buying Behavior Service Marketing Security Analysis Working Capital Management Labour Law Training Development Accounting Ledger Balancing Management functions Personality Development Introduction Concept Disaster Management Marketing Communications Promotion Sales Distribution Management HRM Wage Salary Administration Human Resource Audit Managerial Accounting ",master of business administration
202,master of business administration finance and informative technology,masters business administration finance informative technology,Management Process Organizational Behavior Business Research Database Management Administration Marketing Management Quantitative Techniques Decision Making Business Legal Environment Managerial Economics Production Operations Technology Innovation Change Business System Analysis Design Managerial Skills Development Human Resource Financial Management Accounting ERP Function Area Advance Business Application System Administration Entrepreneurship Development E Customer Relationship Information System Software Quality Assurance Software Project Information Security Corporate Social Responsibility Ethics Human Values E Business Management Process Database Management Administration Business System Analysis Design ERP Marketing Financial Management,master of business administration
203,master of commerce accounting and finance,masters commerce accountancy advanced finance,Advanced Corporate Accounting Accounting Standards Financial Management Organisational Behaviour Managerial Economics Accounting Decision Making Advanced Cost Management Accounting Quantitative Techniques for Business Decision Marketing Services Industrial Relations Labour Welfare Total Quality Management Research Methodology Knowledge management Fundamentals Information Technology Consumer Behaviour Consumer Rights Education Business Ethics Corporate Governance Social Responsibility Management Information Systems Investment analysis portfolio Theory Merchant Banking Financial Services Statistical Analysis Economic Analysis Quantitative Techniques Business Decisions Strategic International Business  ,master of commerce
204,master of science economics,masters science economics,Advanced Macroeconomics Mathematics Economics Statistics Economics Econometrics Economics Development Public Research Financial Econometrics Labour Business Strategy Demand Analysis Costs Production Price Output Determination competition Monopoly Marginal analysis Oligopoly Macro Economics capital investment Foreign Trade Foreign Capital Export Import Foreign Trade policy Taxation Univariate Analysis Regression Analysis Correlation Probability distributions Debt Deficit Financing Investment Evaluation Federal Finance,master of science
205,bachelor of business administration finance,bachelor business administration finance,Organisational Behaviour Business Communication Environment Financial Accounting Mathematics Business Law Environmental Management Business Economics Management Accounting Computer Application Profit Planning Control Production Operations Research Manpower Industrial Law Marketing Concepts Office Business Finance Sales Distribution Statistics Research Methodology Computer Application Business Finance Information System Corporate Planning Strategic Indian Economy International Marketing Banking Law Marketing Services Advertising Public Relations Financial Institutions Markets Human Resources Development Entrepreneurial Development Corporate Social Responsibility Financial Modeling Managerial Economics Marketing Research Marketing Supply Chain Commercial Banking Business Analysis Valuation Corporate Taxation Financial Risk Financial Markets Fixed Income Securities International Financial Investment Banking Financial Services Corporate Analysis Valuation Business Tax Planning Advanced Econometrics Strategic Corporate Behavioral Finance Institutions International Architecture Corporate Restructuring Derivatives Cost Management Accounting,bachelor of business administration
206,bachelor of commerce accounting and finance,bachelor commerce finance accounting,Financial Accounting Business Organization Business Economics Corporate Accounting Business Statistics Commercial Law Industrial Law Banking Theory Law Practice Business Environment Environmental Studies Business Finance Auditing Income Tax Cost Accounting Accounting Managerial Decisions Financial Accounting Marketing Business Statistics Retail Marketing Business Environment Operations Research Business Insurance Corporate Accounting Business Laws Banking Theory Law Environmental Studies Financial Services Management Computer Application Auditing Cost Financial Portfolio Working Capital Management Capital Markets,bachelor of commerce
207,bachelor of business administration international business,bachelor business administration business international,"Business Mathematics Management Foundation	Indian System Business Economic Environment Micro Economics Applications Macro Economics Applications Accounting International Business Values Ethics International Business Foreign language Environmental Studies Global Business Management Behavioral Science Financial Management Marketing Business Statistics Legal Framework Business Database Management System Research Methods Reports Preparing Module System analysis design Project management International strategic management institutions trade implications Entrepreneurship Development Managerial accounting Human Resource Export import documentation logistics Taxation laws Practices E Commerce international trade Sales management  international marketing International financial management Cross cultural management management multinational companies Operation research ",bachelor of business administration
208,bachelor of management studies finance,bachelor management studies finance,Financial Accounts Business Law Business Statistics Business Communication Principles Management Computers Business Environment Industrial Law Computer Applications Business Managerial Economics Business Mathematics Cost Accounting Environmental Management Management Accounting Marketing Management Banking Insurance Production Management Materials Management Strategic Management Productivity Quality Management Direct Indirect Taxes Export Import Procedures Documentation Cooperatives Rural Markets Research Methods Business Public Relations Management Human Resource Management Service Sector Management Financial Management Logistics Management Business Ethics Corporate Social Responsibility Marketing Finance E Commerce Entrepreneurship Management SME Operation Research International Finance International Marketing Human Resource Management Finance Resource Allocation ,bachelor of management studies
209,bachelor of arts business economics,bachelor arts economics business,Economics Economies Scale Scope Economics Costs Explicit Implicit Economics Analysis Accounting Opportunity Total fixed Variable Costs Inductive Deductive Logic Marginal Average Costs Utility Demand Supply Revenue Commodities Total Marginal Average Revenue Value Price Break Even Point Market Administered Non Administered Prices Demand Supply Equilibrium Price Output Industry Cardinal Marshal Ordinal Utility Market Equilibrium Price Output Indifference Curve Consumer equilibrium Price Discrimination Price Income Monopolistic Competition Derivation Demand Curve Price Output Elasticity Demand Factor Pricing Price Income Cross Elasticity  Marginal Productivity Distribution Consumer Surplus Wages Rent Classical Laws Production Factor Return Scale Profit Net Gross Variable Proportion Isoquants Nature Structure Economy Primary Secondary Tertiary Sectors Natural Resources Land Water Forest Irrigation Power Transport Communication Mineral Resources Banking Insurance Demographic Features Human Infrastructure Indian Economy Population Size Sex Rural Urban Health Nutrition Education Knowledge Population Distribution Housing Sanitation National Population Policy Strategy Agriculture Nature five year plan Land Use Pattern Economy Land land Utilization Pattern Agriculture Production Productivity Natural Resources Forest Water Mineral Cropping Pattern Agro Climatic Zones Land Reforms Green Revolution Rural Credit Agricultural Situation Economy Agricultural Marketing Cropping Pattern Mechanization Production Productivity Main Corps Macro Variables Stock Flow Public Finance Public Economics Circular Flow income Public Private Merits Goods National Income GDP GNP Market State Role Functions National Income Social Accounting Maximum Social Advantage National Income Economic Welfare Sources Revenue Taxes Loans Grants Public Expenditure Aggregate Demand Public Debt Redaction Effective Demand Wagener’s Law Consumption Function Public Expenditure Production Distribution Factors Affecting Consumption Average Marginal Propensities Consume Simple Investment Fiscal Deficit Saving Function Sources Mobilization Deficit Financing Deficit Budget Investment Function Constitution Finance Commission Marginal Efficiency Capital Latest Finance Commission Affecting Capital Formation Accelerator stock Money Measures Cash Transaction Cash Balance Inflation Deflation Recession Demand Pull Cost Push Inflation Bank Meaning Types Monetary Policy Small Scale Cottage Industries Credit Agriculture Irrigation Producers Equilibrium ,bachelor of arts
210,bachelor of commerce financial management,bachelor commerce management financial,Principles Management Financial Accounting Business Mathematics Business Communications Computer Application Business Business Law Managerial Economics OB HRM Marketing Business Statistics Cost Management Accounting Financial Accounting Direct Tax Laws Managerial Economics Macro Corporate Laws Financial Management Indirect Tax Laws Financial Institutions Markets E Commerce Computerized Accounting Banking Security Analysis Portfolio Management Financial Management Insurance Risk Management Entrepreneurship Development Derivatives International Finance Auditing Assurance Services Business Ethics Corporate Governance ,bachelor of commerce
211,bachelor of science mathematics,bachelor science mathematics,Algebra Trigonometry Group Theory Differential Calculus Integral Calculus Geometry Vector Analysis Analytical Geometry Advanced Algebra Vector Spaces Matrices Differential Equations Real Analysis Mechanics Mathematical Methods Linear Algebra Numerical Methods Complex Analysis Mathematical Statistics Several Variables Partial Differential Equations Operations Research Statistics Real Analysis Linear Differential Equations Group Theory Matrices Analytical Geometry Fourier Analysis Metric Space Ring Theory Computer Application Complex Analysis Linear Algebra Analytical Geometry Vector Calculus Probability Statistics Mathematical Finance Boolean Algebra Transportation Game Theory,bachelor of science
212,Investment Banking,bachelor bachelors bachelor's engineering technology computer science economics finance master masters master's Business Administration accounting management diploma arts financial services post graduate international technology engineering commerce accountancy electrical electronics information studies petroleum chemical mathematics accounting finance communication mechanical informative programme ,Design enable execute measure product program launches market plans Develop marketing plans collaborating demand gen web/digital customer marketing compelling messaging customer marketing assets sales enablement assets marketing sales partner team Continually improve enablement Python Matlab R q KDB  SQL Java C++ business model strategy products new markets Preparing analyzing explaining historical projected financial information preparation financial models business valuations  Advisory services mergers acquisitions strategic assignments Industry coverage Consumer Retail Real Estate Gaming Lodging Leisure Financial Institutions Healthcare Technology Media Telecoms Industrials Financial Sponsors Client Financing Solutions Product specialists capital markets financing functions including Acquisition Leveraged Finance Equity Capital Markets Debt Capital Markets Syndicate industry company-specific business due diligence quantitative analysis managing manipulating simplifying analyzing complex datasets SQL Python R Proven develop actionable recommendations qualitative quantitative data quantitative modeling abilities data heavy insights technical non-technical debt equity financing M&A modeling valuation techniques analytical quantitative problem solving Drafting Developing underlying trends business models Product Engineering Marketing Finance teams Conducting fundamental due diligence financial analyses investment opportunities Creating financial models valuation frameworks price analyses investment theses management teams sell side research analysts Equity Capital Markets Sales Trading professionals market industry participants investment banking investment management financial modelling analysis skills ,profile
213,master of technology VLSI,masters technology VLSI,Digital VLSI Design VLSI Communication Circuits DSP Systems Architecture Semiconductor devises Physics Modelling HDL Based Design programmable logic Communication DSP HDL design Algorithms VLSI CAD Signal Processing IC Fabrication Technology Mixed Signal Testing Analogue IC Design Hardware Software ASIC Design Circuit Design ASIC Design Hardware Software Co-Design Testing VLSI Circuits IC Design Semiconductor Memories VLSI Technology Optimization Techniques RF System design Signal integrity high speed design Data Converters Solid State Devices Modelling Simulation Embedded Systems MEMS System Design VLSI Wireless Communications Layout Design Rules Circuit Characterization Performance Estimation Circuit Simulation Combinational Sequential Circuit Design Memory System Design Digital Image Processing Multimedia Systems FPGA based design Digital VLSI Systems Embedded Systems Analog Mixed-Signal Systems High-Performance Computing Systems Electronic System Design Wireless Sensor Networks Electronics Communication ,master of technology
214,master of technology electrical power system,masters technology system power electrical,"Power System Analysis Operation Power System Dynamics Control HVDC Flexible AC Transmission Systems Electric Power Quality Power System Protection Power System Operation Control Power System Analysis H.V.D.C. Transmission Power Electronics Power System Protection Digital Control Systems Microprocessors Power System Electrical Machines Non Conventional Energy Fast Transients Power Systems Power System Communication Industrial Automation Renewable Distributed Energy Sources Industrial Instrumentation Energy Ecology Environment High Voltage Advanced Power Electronics Energy Storage Systems EHV UHV Power Transmission Computational Intelligence
Statistical Signal Processing Grid Integration Renewable Energy Systems Smart Grid Technology High Voltage Control Distribution System Networks Systems Security Digital Signal Pattern Recognition Computational Electromagnetic Operations Research",master of technology
215,master of engineering microelectronics,masters engineering microelectronics,Solid State Circuits VLSI Circuits Systems VLSI CAD Process Modelling Technology and Process Simulation HDL Analog Digital Solid State Devices Semiconductor Physics ASIC Design FPGA Digital Signal Processors Embedded Systems Testability E Waste Management Processor Architecture Parallel Processing Memory Design Embedded System on Chip SOC Device Characterization Measurements Sensor Technology MEMS Optical Communication Microwave Integrated Circuits Design Reliability Mobile Phone programming Image Industrial Design Electronic Devices Integrated Optics TCP IP Network IP FPGA Electronic Systems Design Sensors Instrumentation Simulation circuits devices Nanoelectronics Compound Semiconductors Properties Applications RF Microelectronic Chip Design Electromagnetic Interference Electromagnetic Compatibility,master of engineering
216,master of technology industrial and product design,masters technology industrial product design,Metal casting Joining Processes manufacturing Process Forming Computer aided engineer Operations forming control Quality Management Manufacturing Digital Prototyping Product Design Development Materials Manufacturing Technology CAD CAM Product Development Computer Programming Finite Elements Methods design Manufacturing Ergonomics Modelling Simulation Engineering mechatronics Computer Integrated Manufacturing Robotics Manufacturing Technology Rapid Prototyping Manufacturing Reverse Engineering Nanotechnology Precision Concurrent Artificial Intelligence Evolutionary Algorithms Systems Dynamics Flexible Manufacturing System Design Against Fatigue Fracture Noise Vibration Computer Graphics Turbo Pumps Design Design Mechanical Systems Tool Design Logistics Supply Chain Management Machine Tool Dynamics Welding Modelling Simulation Total Quality Management Design Manufacturing Micro Electrical Mechanical Systems Market Research Forecasting Innovation Neural Network Fuzzy Logic Thermo fluid dynamics Gas Dynamics Fans Blowers Compressors Gas Turbine Jet Propulsion Automobile Systems Designer’s Forensic Rapid Prototyping Manufacturing ,master of technology
217,post graduate diploma embedded system design,post graduate diploma design system embedded,VLSI module Advanced digital design HDL programming VHDL Verilog FPGA synthesis System architecture Full custom ASIC design SPICE simulation Embedded C 8 bit Microcontrollers System Design ARM Microcontrollers Digital Signal Processors Embedded Linux Embedded RTOS RTLinux VxWorks System Design Using FPGAs Product Design Data Structures Algorithms Microcontroller Programming Interfacing Embedded Operating Systems Linux Device Drivers Real time Operating Systems Internet of Things IoT Aptitude Effective Communication CMOS VLSI design floor planning placement routing ,post graduate diploma
218,master of technology rf and microwave engineering,masters technology rf microwave engineering,Electromagnetic Antenna Theory Analytical Computational Electromagnetics RF Microwave Circuits Antenna Lab RF Microwave Integrated Circuits RF IC Microwave Mems Optoelectronics Fiber Optic Communication Millimeter Wave Integrated Circuits Wireless Channels UWB Radios RF Packaging Electromagnetic Compatibility Remote Sensing Adaptive Smart Antennas Millimeter Wave Integrated Circuits Phased Array Electromagnetic Microwave Metamaterials Satellite Communication microwave Circuit Antenna Theory Design Microwave Circuits Systems Computational Methods Electromagnetics Microwave Semiconductor Devices Antenna Design,master of technology
219,bachelor of technology plastics and polymer engineering,bachelor technology plastics polymer engineering,Inorganic Chemistry Organic Chemistry Applied Mathematics Applied Physics Graphics Physics Inorganic Chemistry Material Energy Balance Applications Computers Analytical Chemistry Mechanics Strength Materials Electrical Electronics Physical Chemistry Transport Phenomena Polymer Science Technology Thermoplastics Polymer Thermoset Polymers Colour Physics colour Harmony Characterization raw materials polymers Synthesis resins polymers Colour Physics  Pigments Additives Polymers Compounding processing polymers Design Fabrication Molds Mold Designing Processing Polymer Industrial Psychology Human Resource Management Elastomers Evaluation Packaging Decoration plastics Analysis Characterization Polymers Industrial Management Design Analysis Experiments Processing Advanced Polymer Science Structure property relationship,bachelor of technology
220,R&D Applications Engineer,bachelor bachelors bachelor's science engineering master masters master's mechanical electrical electronics manufacturing technology instrumentation data analytics computer science mathematics statistics technology communication vlsi embeded systems power system microelectronics industrial product design diploma microwave rf telecommunication control plastics polymer automobile automotive chemical biomedical bioengineering post graduate diploma ,Develop research designs NLP Develop research screeners discussion Java Python Go Frontend Web UI development Angular Akita Cypres Typescript Backend NoSQL Elastic Cassandra MongoDB REST node.js Infra skills Docker Kubernetes Kafka streaming frameworks Cloud technologies telecom environment developing containers k8s clusters CI CD environments 3GPP SDLC custom stimuli Designs develops analyzes technical skills research product development Designs life science product research development clinical trials Java Python C++ data science ML packages tools languages R Scikit-Learn MATLAB Octave Julia WEKA NLP toolkits Stanford CoreNLP NLTK ClearTK Design Development microservices DevOps Exposure NLP annotation models Universal Dependencies Penn Treebank SQL spring crownsourced usable marketable products CAD Deploying ML models Python packaging developer tools setuptools poetry tox autoformatters static checkers data analytics Packaging Python linguistic semantics parsing word sense disambiguation extraction question answering language generation metrics performance assessment cheminformatics tools PyMol RDKit OpenEye Data visualisation dashboarding tools Probabilistic statistical ML specialities PyTorch neural network architectures Gaussian processes Bayesian optimization Natural language processing Knowledge graphs Conduct user research Pro DIY new systems technologies autonomy AI ML Artificial intelligence machine learning high-performance computational methods field testing technology key insights implications data collection design coding C++ Python C++ Python designing open-source software inertial optical acoustic sensing devices real-time computer graphics modern GPU programming CUDA OpenGL OpenCL developing software computer vision computer graphics high performance computing machine learning robotics applications CVPR ECCV ICCV SIGGRAPH ICCP RSS ICRA User Application Lab Manager product design development Sensory evaluation experience Construction automotive experience statistical package SPSS SAS R Stata designing conducting qualitative quantitative user research clinical research evaluation methodology measurement data analysis protocol design graphics ,profile
